A̱o,Trimestre,Total de accesos operativos
2014,1,62949571
2014,2,60963640
2014,3,61316467
2014,4,61120835
2015,1,60221863
2015,2,59875466
2015,3,60732511
2015,4,61842011
2016,1,61486761
2016,2,62122521
2016,3,63579339
2016,4,63719805
2017,1,63026122
2017,2,62898758
2017,3,62230809
2017,4,61897379
2018,1,60571796
2018,2,59466393
2018,3,58841136
2018,4,58598041
2019,1,58606442
2019,2,57596091
2019,3,56275726
2019,4,55930914
2020,1,55612810
2020,2,55050723
2020,3,54619886
2020,4,54763900
2021,1,56453033
2021,2,56875562
2021,3,57812509
2021,4,59065827
2022,1,59402581
